ID	Concept	ProtoTakana	Predicted	Form	AlternativeForm	MeaningPredicted	Evaluation	Comment	Speaker
1	*después	su	so	pekao			absent		Eli Sánchez
3	*hormiga	iʃuwi	[i/ɨ]soɽ[i/ɨ]	hima			absent		Eli Sánchez
4	*hormiga	puki	pok[i/ɨ]	hima			absent		Eli Sánchez
5	*sobaco	nakʷiʃi	na[k/w][i/ɨ]s[i/ɨ]	na-kiʃi			absent		Eli Sánchez
6	*pedir	baka	βaka	yoka-ti			absent		Eli Sánchez
12	*abeja	atata	[a/hi][t/ts/tʃ]a[t/ts/tʃ]a	bɨna			absent		Eli Sánchez
21	*traer	ɽe	nɨ	bɨ-ti			absent		Eli Sánchez
22	*hermano	u	o	wɨtsa, hutʃi			absent	hutʃi is ‘older brother’	Eli Sánchez
30	*medio	pa	pa	napon			absent		Eli Sánchez
32	*ciempiés	nuɽiɽi	non[i/ɨ]n[i/ɨ]	ʂako			absent		Eli Sánchez
33	*ají	biʃu	β[i/ɨ]so	jotʃi			absent		Eli Sánchez
35	*claro	kʷaɽe	[k/w]anɨ	jiʂti			absent		Eli Sánchez
36	*subir	ʈʂura	ʂona	mɨ-ti			absent		Eli Sánchez
37	*coca	zaʔazi	ʃaʔaʃ[i/ɨ]	koka-pɨ			absent		Eli Sánchez
38	*consumir	ika	[i/ɨ]ka	ʂɨ-ati			absent		Eli Sánchez
41	*cangrejo	zeɽu	ʃɨno	ʂaka-tʃaro			absent		Eli Sánchez
42	*grillo	asari	[a/hi]san[i/ɨ]	tʃapo			absent		Eli Sánchez
44	*rocío,sereno	ba	βa	niβi			absent		Jeiser Suarez
45	*sucio	azi	[a/hi]ʃ[i/ɨ]	kɨras			absent		Eli Sánchez
46	*sucio	bu	βo	kɨras			absent		Eli Sánchez
48	*paloma	wai	ɽa[i/ɨ]	ʂotó			absent		Eli Sánchez
50	*abajo	makʷa	ma[k/w]a	naman			absent		Eli Sánchez
53	*seco	muɽi	mon[i/ɨ]	manʂan			absent		Eli Sánchez
55	*vacío	mema	mɨma	nia-ma			absent		Eli Sánchez
56	*dar de comer	miwa	m[i/ɨ]ɽa	pima-ti			absent		Eli Sánchez
57	*mujer,hembra	puna	pona	aimβo, awin			absent		Eli Sánchez
58	*llenar,llenarse	seke	sɨkɨ	βotʃo-ati			absent		Eli Sánchez
59	*encontrar	ʈʂuru	ʂono	noko-ti			absent		Eli Sánchez
63	*barbasco	ʃata	sa[t/ts/tʃ]a	aʂa			absent		Eli Sánchez
67	*mosca	weweɽe	ɽɨɽɨnɨ	naka			absent		Eli Sánchez
68	*andar	ase	[a/hi]sɨ	niti			absent		Eli Sánchez
69	*andar	nu	no	niti			absent		Eli Sánchez
70	*andar	puti	po[t/ts/tʃ][i/ɨ]	niti			absent		Eli Sánchez
72	*rana,sapo	buɽuɽu	βonono	tokoro			absent		Eli Sánchez
74	*freir	kʷaɽaɽa	[k/w]anana	ʃɨ-ati			absent		Eli Sánchez
75	*basura	bubu	βoβo	potá			absent		Eli Sánchez
77	*ir	pu	po	ka-ti			absent		Eli Sánchez
83	*rallar,raspar	ɽekʷe	nɨ[k/w]ɨ	sio			absent		Eli Sánchez
84	*guayaba (árbol)	burewe	βonɨɽɨ	ʂɨnan			absent		Eli Sánchez
85	*cabello	ʈʂaru	ʂano	βoo			absent		Eli Sánchez
87	*feliz,alegre,contento	bei	βɨ[i/ɨ]	ɽaɽo			absent		Eli Sánchez
88	*sombrero	mutiɽu	mo[t/ts/tʃ][i/ɨ]no	maiti			absent		Eli Sánchez
89	*ayudar	ʈʂawa	ʂaɽa	akin-ti			absent		Eli Sánchez
90	*garza	ɽau	nao	manʂan			absent		Eli Sánchez
91	*esconderse	tewa	[t/ts/tʃ]ɨɽa	honɨ-tai			absent		Wilian Ochavano
93	*marido	awei	[a/hi]ɽɨ[i/ɨ]	βɨnɨ			absent		Wilian Ochavano
94	*iguana	pizuzu	p[i/ɨ]ʃoʃo	apáʃiro			absent		Wilian Ochavano
98	*riñón	pa	pa	karɨko			absent		Wilian Ochavano
99	*saber	bawei	βaɽɨ[i/ɨ]	ona-nti			absent		Wilian Ochavano
100	*pierna	ta	[t/ts/tʃ]a	kiʃi			absent		Wilian Ochavano
101	*lamer	ʈʂeu	ʂɨo	taʃo-ti			absent		Wilian Ochavano
109	*madre,mamá	mama	mama	tita			absent		Wilian Ochavano
110	*madre	na	na	tita			absent		Wilian Ochavano
113	*hongo	siʔi	s[i/ɨ]ʔ[i/ɨ]	kono			absent		Wilian Ochavano
115	*collar	irine	[i/ɨ]n[i/ɨ]nɨ	tɨo-ti			absent		Wilian Ochavano
116	*noche	ziza	ʃ[i/ɨ]ʃa	jamɨ́			absent		Wilian Ochavano
121	*par	buʈʂe	βoʂɨ	raβɨ́			absent		Wilian Ochavano
123	*perdiz	buni	βon[i/ɨ]	kɨmanwa			absent		Wilian Ochavano
124	*maní	kanize	kan[i/ɨ]ʃɨ	tama			absent		Wilian Ochavano
125	*pene	kʷi	[k/w][i/ɨ]	βoʃi			absent		Wilian Ochavano
128	*recoger	mepe	mɨpɨ	βi-ti			absent		Wilian Ochavano
130	*plato	sepe	sɨpɨ	rato			absent		Wilian Ochavano
133	*meter	biu	β[i/ɨ]o	nia-ti			absent		Wilian Ochavano
135	*poner	wana	ɽana	nia-ti			absent		Wilian Ochavano
137	*balsa	biʃi	β[i/ɨ]s[i/ɨ]	tapán			absent		Wilian Ochavano
139	*chuchio,charo,caña brava	bue	βoɨ	tawa			absent		Wilian Ochavano
143	*anillo	taɽa	[t/ts/tʃ]ana	mɨʃoti			absent		Jeiser Suarez
144	*pudrirse	iwi	[i/ɨ]ɽ[i/ɨ]	pajo-ti			absent		Wilian Ochavano
145	*podrir	ɽiɽi	n[i/ɨ]n[i/ɨ]	pajo-ti			absent		Wilian Ochavano
147	*alacrán	asi	[a/hi]s[i/ɨ]	nɨβo			absent		Wilian Ochavano
149	*raspar	ʃe	sɨ	wɨʂa-ti			absent		Wilian Ochavano
150	*vender	iɽu	[i/ɨ]no	maro-ti			absent		Wilian Ochavano
153	*concha	ʃemu	sɨmo	pao			absent		Wilian Ochavano
154	*defecar	ze	ʃɨ	poi-ti			absent		Wilian Ochavano
155	*hombro	aɽa	[a/hi]na	βantonko			absent		Wilian Ochavano
158	*mostrar	bamere	βamɨnɨ	oinma-ti			absent		Wilian Ochavano
159	*cerrar	teɽi	[t/ts/tʃ]ɨn[i/ɨ]	ʂɨpo-ti			absent		Wilian Ochavano
160	*silencio	taki	[t/ts/tʃ]ak[i/ɨ]	hawɨ jama			absent		Wilian Ochavano
