# Wordlist

# DATA
ID	DOCULECT	CONCEPT_NAME	CONCEPT	CONCEPTICON_ID	TOKENS	FORM	COGID	ALIGNMENT
#
344	Ama	Blood	BLOOD	946	h i m i	himi	4	h i m i
528	Cav	Blood	BLOOD	946	a m i	ami	4	- a m i
128	Chak	Blood	BLOOD	946	h i m i	himi	4	h i m i
131	Chan	Blood	BLOOD	946	i b i	ibi	4	- i b i
345	HanKax	Blood	BLOOD	946	h i m i	himi	4	h i m i
126	Kap	Blood	BLOOD	946	h i m i	himi	4	h i m i
342	Kat	Blood	BLOOD	946	h i m i	himi	4	h i m i
129	Kax	Blood	BLOOD	946	h i m i	himi	4	h i m i
348	Kor	Blood	BLOOD	946	i n.t a	inta	4	- i n.t a
124	Ksh	Blood	BLOOD	946	i m i	imi	4	- i m i
127	Mar	Blood	BLOOD	946	i m.b i	imbi	4	- i m.b i
349	Mat	Blood	BLOOD	946	i m i	imi	4	- i m i
350	MatMay	Blood	BLOOD	946	i m i	imi	4	- i m i
346	Maw	Blood	BLOOD	946	i m i	imi	4	- i m i
343	Poy	Blood	BLOOD	946	i b i	ibi	4	- i b i
123	ProPa	Blood	BLOOD	946	h i m i	himi	4	h i m i
122	ProPaTa	Blood	BLOOD	946	h e m i	hemi	4	h e m i
525	ProTa	Blood	BLOOD	946	a m i	ami	4	- a m i
527	ReyMar	Blood	BLOOD	946	a m i	ami	4	- a m i
341	Shan	Blood	BLOOD	946	i m i	imi	4	- i m i
132	Shar	Blood	BLOOD	946	i m i	imi	4	- i m i
125	SK	Blood	BLOOD	946	h i m i	himi	4	h i m i
526	Tac	Blood	BLOOD	946	a m i	ami	4	- a m i
130	Yam	Blood	BLOOD	946	i m	im	4	- i m -
347	Yaw	Blood	BLOOD	946	i m i	imi	4	- i m i
#
299	Ama	Bone	BONE	1394	x a o	xao	5	x a o
486	Cav	Bone	BONE	1394	tʂ a o	e-cao	5	tʂ a o
58	Chak	Bone	BONE	1394	ʂ a o	ʂao	5	ʂ a o
61	Chan	Bone	BONE	1394	ʃ a o	ʃao	5	ʃ a o
487	Ese	Bone	BONE	1394	s a	e-sá	5	s a -
300	HanKax	Bone	BONE	1394	ʂ a u	ʂau	5	ʂ a u
56	Kap	Bone	BONE	1394	ʂ a o	ʂao	5	ʂ a o
297	Kat	Bone	BONE	1394	ʃ a u	ʃau	5	ʃ a u
59	Kax	Bone	BONE	1394	ʂ a u	ʂahʷu	5	ʂ a u
54	Ksh	Bone	BONE	1394	ʂ ɔ	ʂɔː	5	ʂ ɔ -
57	Mar	Bone	BONE	1394	ʃ a u	ʃau	5	ʃ a u
303	MatMay	Bone	BONE	1394	ʂ	mɨ-ʂ	5	ʂ - -
301	Maw	Bone	BONE	1394	ʂ a o	ʂao	5	ʂ a o
298	Poy	Bone	BONE	1394	h a u	haw	5	h a u
53	ProPa	Bone	BONE	1394	ʂ a o	ʂao	5	ʂ a o
52	ProPaTa	Bone	BONE	1394	ʂ a u	ʂau	5	ʂ a u
483	ProTa	Bone	BONE	1394	tʂ a u	tʂau	5	tʂ a u
485	ReyMar	Bone	BONE	1394	ts a o	e-cao	5	ts a o
296	Shan	Bone	BONE	1394	ʂ a o	ʂaw	5	ʂ a o
62	Shar	Bone	BONE	1394	ʂ a o	ʂao	5	ʂ a o
55	SK	Bone	BONE	1394	ʂ a o	ʂao	5	ʂ a o
484	Tac	Bone	BONE	1394	tʂ a u	e-cau	5	tʂ a u
488	War	Bone	BONE	1394	s a	e-sá	5	s a -
60	Yam	Bone	BONE	1394	ʂ a o	ʂao	5	ʂ a o
302	Yaw	Bone	BONE	1394	ʃ a u	ʃau	5	ʃ a u
#
354	Ama	Breast	BREAST	1402	x o	xoma	6	x o
139	Chak	Breast	BREAST	1402	ʂ o	ʂoma	6	ʂ o
140	Chan	Breast	BREAST	1402	ʂ o	ʂoma	6	ʂ o
355	HanKax	Breast	BREAST	1402	ʂ u	ʂuma	6	ʂ u
137	Kap	Breast	BREAST	1402	ʂ o	ʂoma	6	ʂ o
352	Kat	Breast	BREAST	1402	ʃ u	ʃuma	6	ʃ u
358	Kor	Breast	BREAST	1402	ʂ u	ʂuma	6	ʂ u
135	Ksh	Breast	BREAST	1402	ʂ o	ʂoma	6	ʂ o
138	Mar	Breast	BREAST	1402	ʂ o	ʂoma	6	ʂ o
359	Mat	Breast	BREAST	1402	ʂ u	ʂuma	6	ʂ u
360	MatMay	Breast	BREAST	1402	ʂ u	ʂuma	6	ʂ u
356	Maw	Breast	BREAST	1402	ʂ o	ʂoma	6	ʂ o
353	Poy	Breast	BREAST	1402	h u	hũba	6	h u
134	ProPa	Breast	BREAST	1402	ʂ o	ʂo	6	ʂ o
133	ProPaTa	Breast	BREAST	1402	ʂ u	aṣu	6	ʂ u
529	ProTa	Breast	BREAST	1402	tʂ u	aṭṣu	6	tʂ u
351	Shan	Breast	BREAST	1402	ʂ u	ʂuma	6	ʂ u
141	Shar	Breast	BREAST	1402	ʂ o	ʂoma	6	ʂ o
136	SK	Breast	BREAST	1402	ʂ o	ʂoma	6	ʂ o
357	Yaw	Breast	BREAST	1402	ʃ u	ʃuma	6	ʃ u
#
428	Ama	Cheek	CHEEK	1730	t a m o	tamo	9	t a m o
581	Cav	Cheek	CHEEK	1730	t a m u	-tamu	9	t a m u
229	Chak	Cheek	CHEEK	1730	t a m o	tamo	9	t a m o
582	Ese	Cheek	CHEEK	1730	ʃ e m o	-shemo	9	ʃ e m o
429	HanKax	Cheek	CHEEK	1730	t a m u	tamu	9	t a m u
227	Kap	Cheek	CHEEK	1730	t a m o	tamo	9	t a m o
426	Kat	Cheek	CHEEK	1730	t a m u	tamu	9	t a m u
230	Kax	Cheek	CHEEK	1730	t a m u	tamu	9	t a m u
225	Ksh	Cheek	CHEEK	1730	t a m o	tamo	9	t a m o
228	Mar	Cheek	CHEEK	1730	t a m.b o	tambo	9	t a m.b o
431	MatMay	Cheek	CHEEK	1730	t a m.b u	tambu	9	t a m.b u
430	Maw	Cheek	CHEEK	1730	t a m o	tamo	9	t a m o
427	Poy	Cheek	CHEEK	1730	t a ∼.b u	tãbu	9	t a ∼.b u
224	ProPa	Cheek	CHEEK	1730	t a m o	tamo	9	t a m o
223	ProPaTa	Cheek	CHEEK	1730	t a m u	tamu	9	t a m u
579	ProTa	Cheek	CHEEK	1730	t a m u	tamu	9	t a m u
580	ReyMar	Cheek	CHEEK	1730	t a m u	ebu-tamu	9	t a m u
232	Shar	Cheek	CHEEK	1730	t a m o	tamo	9	t a m o
226	SK	Cheek	CHEEK	1730	t a m o	tamo	9	t a m o
231	Yam	Cheek	CHEEK	1730	t a m o	tamo	9	t a m o
#
377	Ama	Come	COME	1446	β ɨ	βɨ-	10	β ɨ
163	Chak	Come	COME	1446	β ɨ	βɨ-	10	β ɨ
166	Chan	Come	COME	1446	ɸ ɨ	ɸɨ-	10	ɸ ɨ
378	HanKax	Come	COME	1446	b ɨ	bɨ-	10	b ɨ
162	Kap	Come	COME	1446	β ɨ	βɨ-	10	β ɨ
164	Kax	Come	COME	1446	b ɨ	bɨ-	10	b ɨ
381	Kor	Come	COME	1446	β ɨ	βɨ-	10	β ɨ
160	Ksh	Come	COME	1446	β ɨ	βɨ-	10	β ɨ
382	Mat	Come	COME	1446	β ɨ	βɨ-	10	β ɨ
383	MatMay	Come	COME	1446	b ɨ	bɨ-	10	b ɨ
379	Maw	Come	COME	1446	ɸ ɨ	ɸɨ-	10	ɸ ɨ
159	ProPa	Come	COME	1446	β ɨ	βɨ-	10	β ɨ
158	ProPaTa	Come	COME	1446	b ɨ	bɨ-	10	b ɨ
545	ProTa	Come	COME	1446	b e	be-	10	b e
167	Shar	Come	COME	1446	ɸ ɨ	ɸɨ-	10	ɸ ɨ
161	SK	Come	COME	1446	β ɨ	βɨ-	10	β ɨ
165	Yam	Come	COME	1446	ɸ ɨ	ɸɨ-	10	ɸ ɨ
380	Yaw	Come	COME	1446	β ɨ	βɨ-	10	β ɨ
#
439	Ama	Elbow	ELBOW	981	b a	vapoxko	19	b a - -
597	Ara	Elbow	ELBOW	981	b a ʃ a	ebaša	19	b a ʃ a
248	Chak	Elbow	ELBOW	981	b a s	baspoto	19	b a s -
594	Ese	Elbow	ELBOW	981	b a ʃ o	e-bašo	19	b a ʃ o
440	HanKax	Elbow	ELBOW	981	b a ʂ	baʂtunku	19	b a ʂ -
247	Kap	Elbow	ELBOW	981	b a ʂ	baʂpoʂko	19	b a ʂ -
