# Wordlist

# DATA
ID	DOCULECT	CONCEPT_NAME	CONCEPT	TOKENS	FORM	COGID	ALIGNMENT
#
708	Cavinena	*encima	ABOVE	d i a k e	dʲake	95	d i a k e
718	EseEjja	*encima	ABOVE	b i a x e	biaxe	95	b i a x e
719	Huarayo	*encima	ABOVE	b i a	e-biahe	95	b i a - -
706	ProtoTakana	*encima	ABOVE	b e a k e	beake	95	b e a k e
707	Tacana	*encima	ABOVE	b i a	e-bia-he	95	b i a - -
#
3228	EseEjja	*acompañar	ACCOMPANY	p e e	e-xa-pee-ki	364	p e - e
3225	Maropa	*acompañar	ACCOMPANY	p e r e	eperéxe	364	p e r e
#
2467	Cavinena	*achiote	ACHIOTE	m a ts e	e-mace	281	m a ts e
2464	ProtoTakana	*achiote	ACHIOTE	m a ʈʂ e	mace	281	m a ʈʂ e
2465	Tacana	*achiote	ACHIOTE	m a ʈʂ e	mace	281	m a ʈʂ e
#
3696	Cavinena	*después	AFTER	h u	hu-acu	402	h u
3697	EseEjja	*después	AFTER	h o	e-ho	402	h o
3701	Huarayo	*después	AFTER	h o	ho-ma-ho	402	h o
3685	ProtoTakana	*después	AFTER	s u	su-	402	s u
3686	Tacana	*después	AFTER	s u	su-ču	402	s u
#
2349	Cavinena	*avisar	ANNOUNCE	kʷ e h a	ka-kweha-ti-	269	kʷ e - h a
2346	ProtoTakana	*avisar	ANNOUNCE	kʷ e i s a	kweisa	269	kʷ e i s a
2347	Tacana	*avisar	ANNOUNCE	k i s a	kisa-	269	k - i s a
#
1765	Cavinena	*hormiga	ANT	i ʃ o β i	išowi	204	i ʃ o β i
1766	EseEjja	*hormiga	ANT	i ʃ o	bišo	204	i ʃ o - -
1762	ProtoTakana	*hormiga	ANT	i ʃ u w i	ijuwi	204	i ʃ u w i
1764	Reyesano	*hormiga	ANT	i ʃ o β i	išobhi	204	i ʃ o β i
1763	Tacana	*hormiga	ANT	i ɽ u i	iřui	204	i ɽ u - i
3370	Cavinena	*hormiga	ANT	p u k i	puki-kini	375	p u k i
3371	EseEjja	*hormiga	ANT	p o x i	poxi-haha	375	p o x i
3364	ProtoTakana	*hormiga	ANT	p u k i	puki	375	p u k i
3365	Tacana	*hormiga	ANT	p u i	pui-sasai	375	p u - i
#
460	Arasa	*brazo	ARM	b a	ébaša	72	b a -
446	Guariza	*brazo	ARM	b a j	ebbay	72	b a j
447	Mabenaro	*brazo	ARM	b a i	ibai	72	b a i
445	Sapibokona	*brazo	ARM	b a i	ebbai	72	b a i
459	Tiatinahua	*brazo	ARM	w a	wacu	72	w a -
#
2910	EseEjja	*sobaco	ARMPIT	n a kʷ i ʃ i	e-nakwiši	333	n a kʷ i ʃ i
2908	ProtoTakana	*sobaco	ARMPIT	n a kʷ i ʃ i	nakwiji	333	n a kʷ i ʃ i
2909	Tacana	*sobaco	ARMPIT	n u k i ɽ i	e-nukiři	333	n u k i ɽ i
#
3269	Arasa	*flecha	ARROW	p i a	pia	368	p i - a
3266	Cavinena	*flecha	ARROW	p i j a	piya	368	p i j a
3264	Maropa	*flecha	ARROW	p i θ a	piθa	368	p i θ a
3257	ProtoTakana	*flecha	ARROW	p i s a	pisa	368	p i s a
3262	Reyesano	*flecha	ARROW	p i ð a	pidha	368	p i ð a
3258	Tacana	*flecha	ARROW	p i s a	pisa	368	p i s a
#
2808	Cavinena	*ceniza	ASH	m u r u	muru-ukeda	319	m u r u
2811	EseEjja	*ceniza	ASH	m o o	moo	319	m o - o
2805	ProtoTakana	*ceniza	ASH	m u r u	muru	319	m u r u
2806	Tacana	*ceniza	ASH	m o	e-ti-mo	319	m o - -
#
576	Cavinena	*pedir	ASK (REQUEST)	b a k a	baka-dora-	73	b a k a
572	ProtoTakana	*pedir	ASK (REQUEST)	b a k a	baka-	73	b a k a
573	Tacana	*pedir	ASK (REQUEST)	b a h a	baha-	73	b a h a
#
2956	Araona	*tía	AUNT	n e n e	nene	340	n e n e
2957	EseEjja	*tía	AUNT	n e n e	nene	340	n e n e
2953	ProtoTakana	*tía	AUNT	n e n e	nene	340	n e n e
2954	Tacana	*tía	AUNT	n e n e	nene	340	n e n e
#
4405	Arasa	*autoridad	AUTHORITY	h a r	huayri	478	h a r -
4403	Cavinena	*autoridad	AUTHORITY	w a r a	warahi	478	w a r a
4401	ProtoTakana	*autoridad	AUTHORITY	w a ɽ a	wařa...	478	w a ɽ a
4402	Tacana	*autoridad	AUTHORITY	w a r a	warai	478	w a r a
#
461	ProtoTakana	*espalda	BACK	b a z e d e	bazede	89	b a z e d e
463	Reyesano	*espalda	BACK	m.b a s e dʐ e	e-mbasendze	89	m.b a s e dʐ e
462	Tacana	*espalda	BACK	b a ð e d e	badhede	89	b a ð e d e
695	EseEjja	*espalda	BACK	b e	e-be-tete	93	b e
698	Huarayo	*espalda	BACK	b e	be-be-oho	93	b e
693	Mabenaro	*espalda	BACK	b i	ibibakwa	93	b i
#
3216	Cavinena	*bambú	BAMBOO	p e n e n a	penena	361	p e n e n a
3214	ProtoTakana	*bambú	BAMBOO	p e n e n a	penena	361	p e n e n a
3215	Tacana	*bambú	BAMBOO	p e n e n a	penena	361	p e n e n a
#
4811	Cavinena	*canasta	BASKET	h i t i	hiti	991	h i t i
4806	ProtoTakana	*canasta	BASKET	ʃ i t i	jiti	991	ʃ i t i
4810	Tacana	*canasta	BASKET	ɽ i t i	řiti	991	ɽ i t i
#
850	Cavinena	*murciélago	BAT	b i n a	bina	111	b i n a
851	EseEjja	*murciélago	BAT	b i ɲ a	biña	111	b i ɲ a
852	Huarayo	*murciélago	BAT	b i ɲ a	biña	111	b i ɲ a
847	ProtoTakana	*murciélago	BAT	b i n a	bina	111	b i n a
849	Reyesano	*murciélago	BAT	b i n a	bina	111	b i n a
848	Tacana	*murciélago	BAT	b i n a	bina	111	b i n a
#
2862	Cavinena	*bañar	BATHE	n a β i	nawi-	338	n a β i
2860	ProtoTakana	*bañar	BATHE	n a w i	nawi	338	n a w i
2861	Tacana	*bañar	BATHE	n a β i	navi-	338	n a β i
#
1711	Cavinena	*vivo	BE ALIVE	i h e	e-ihe-we-ke	201	i h e
1713	EseEjja	*vivo	BE ALIVE	e ʃ e	kea-eše	201	e ʃ e
1710	Guariza	*vivo	BE ALIVE	i s e	eisiecuana	201	i s e
1709	Maropa	*vivo	BE ALIVE	e ʃ e	ešeevére	201	e ʃ e
1702	ProtoTakana	*vivo	BE ALIVE	i ʃ e	ije	201	i ʃ e
1703	Tacana	*vivo	BE ALIVE	i ɽ e	e-iře	201	i ɽ e
#
2340	Cavinena	*barba	BEARD	kʷ e i	e-kwei-ki	267	kʷ e i
2341	EseEjja	*barba	BEARD	kʷ e	e-kwe-ša	267	kʷ e -
2333	Maropa	*barba	BEARD	u e	euesa	267	u e -
2326	ProtoTakana	*barba	BEARD	kʷ e i	kwei-	267	kʷ e i
2332	Reyesano	*barba	BEARD	kʷ e	kwesa	267	kʷ e -
2327	Tacana	*barba	BEARD	k e	ke-dha	267	k e -
#
330	Cavinena	*abeja	BEE	a t a t a	atata-waha	49	a t a t a
328	ProtoTakana	*abeja	BEE	a t a t a	atata	49	a t a t a
329	Tacana	*abeja	BEE	a t a t a	atata	49	a t a t a
#
3951	Cavinena	*detrás,atrás	BEHIND	t i b e	tibe-ne	427	t i b e
