# Wordlist

# DATA
ID	DOCULECT	CONCEPT_NAME	CONCEPT	TOKENS	FORM	COGID	ALIGNMENT
#
3187	Amawaka	above	ABOVE	m a n a ~	manã-	132	m a n a ~
3181	Chakobo	above	ABOVE	m a n a	mana	132	m a n a -
3177	Kakataibo	above	ABOVE	m a n a ~	manã́	132	m a n a ~
3180	Kapanawa	above	ABOVE	m a n a n	manán	132	m a n a n
3188	Kaxinawa	above	ABOVE	m a n a ~	mãnã	132	m a n a ~
3189	Marinawa	above	ABOVE	m a n a ~	mãnãkírí	132	m a n a ~
3190	Mayoruna	above	ABOVE	m a n a n	mannan	132	m a n a n
3176	Proto-Panoan	above	ABOVE	m a rⁿ a rⁿ	ma[n]a[n]	132	m a rⁿ a rⁿ
3186	Shanenawa	above	ABOVE	m a n a	manaun	132	m a n a -
3185	Sharanawa	above	ABOVE	m a n a n	mananun	132	m a n a n
3178	ShipiboKonibo	above	ABOVE	m a n a ~	manã́	132	m a n a ~
3182	Yaminawa	above	ABOVE	m a n a ~	manaõ	132	m a n a ~
#
3363	Amawaka	achiote	ACHIOTE	m a x ɨ	maxɨ	146	m a x ɨ
3360	Chakobo	achiote	ACHIOTE	m a ʂ ɨ	maʂɨ	146	m a ʂ ɨ
3361	Chaninawa	achiote	ACHIOTE	b a ʃ ɨ	baʃɨ	146	b a ʃ ɨ
3356	Kakataibo	achiote	ACHIOTE	m a ʂ ɨ	maʂɨ	146	m a ʂ ɨ
3358	Kapanawa	achiote	ACHIOTE	m a ʂ ɨ	maʂɨ	146	m a ʂ ɨ
3362	Katukina	achiote	ACHIOTE	m a ʂ i	maʂi	146	m a ʂ i
3364	Kaxinawa	achiote	ACHIOTE	m a ʂ ɨ	maʂɨ	146	m a ʂ ɨ
3365	Marinawa	achiote	ACHIOTE	m a ʂ ɨ	máʂɨ́	146	m a ʂ ɨ
3359	Marubo	achiote	ACHIOTE	m a ʃ ɨ	maʃɨ	146	m a ʃ ɨ
3355	Proto-Panoan	achiote	ACHIOTE	m a ʂ ɨ	maʂɨ	146	m a ʂ ɨ
3357	ShipiboKonibo	achiote	ACHIOTE	m a ʂ ɨ	maʂɨ	146	m a ʂ ɨ
4412	Korubo	achiote	ACHIOTE	ʃ i n	ʃinte	233	- - ʃ i n
4617	Korubo	achiote	ACHIOTE	ʃ i n	ʃinte	247	- - ʃ i n
#
6568	Amawaka	adam's apple	ADAM'S APPLE	t ɨ t o ~	tɨtõ	400	t ɨ t o ~
6564	Chakobo	adam's apple	ADAM'S APPLE	t ɨ t o	tɨto	400	t ɨ t o -
6560	Kakataibo	adam's apple	ADAM'S APPLE	t ɨ t o ~	tɨtṍ	400	t ɨ t o ~
6562	Kapanawa	adam's apple	ADAM'S APPLE	t ɨ t o n	tɨtón	400	t ɨ t o n
6570	Kaxinawa	adam's apple	ADAM'S APPLE	t ɨ t u	tɨtuku	400	t ɨ t u -
6571	Marinawa	adam's apple	ADAM'S APPLE	t ɨ t o ~	tɨ́ś_tõ	400	t ɨ t o ~
6563	Marubo	adam's apple	ADAM'S APPLE	t ə t o	tə̃ˈto	400	t ə t o -
6559	Proto-Panoan	adam's apple	ADAM'S APPLE	t ɨ t o rⁿ	tɨto[n]	400	t ɨ t o rⁿ
6566	Sharanawa	adam's apple	ADAM'S APPLE	t ɨ t o	tɨtoko	400	t ɨ t o -
6561	ShipiboKonibo	adam's apple	ADAM'S APPLE	t ɨ t o ~	tɨtṍ	400	t ɨ t o ~
#
7079	Amawaka	afternoon	AFTERNOON	j a ~ t a ~	yãtã	445	j a ~ t a ~
7075	Chakobo	afternoon	AFTERNOON	j a t a	yáta	445	j a - t a -
7072	Kakataibo	afternoon	AFTERNOON	a t a ~	atã́	445	- a - t a ~
7074	Kapanawa	afternoon	AFTERNOON	j a n t a n	yantán	445	j a n t a n
7080	Marinawa	afternoon	AFTERNOON	j a t a ~	yátã	445	j a - t a ~
7071	Proto-Panoan	afternoon	AFTERNOON	j a ~ t a n	yãtan	445	j a ~ t a n
7078	Sharanawa	afternoon	AFTERNOON	j a t a n	yatan	445	j a - t a n
7073	ShipiboKonibo	afternoon	AFTERNOON	j a ~ t a ~	yãtã́	445	j a ~ t a ~
7077	Yaminawa	afternoon	AFTERNOON	j a ~ t a	yãta	445	j a ~ t a -
7081	Yawanawa	afternoon	AFTERNOON	j a ~ t a ~	jãˈtã	445	j a ~ t a ~
#
3312	Amawaka	cutia (species of rodent)	AGOUTI	m a r i	marí_I	142	m a r i
3300	Kakataibo	cutia (species of rodent)	AGOUTI	m a r i	mari	142	m a r i
3302	Kapanawa	cutia (species of rodent)	AGOUTI	m a r i	mari	142	m a r i
3310	Katukina	cutia (species of rodent)	AGOUTI	m a ɾ i	maɾi	142	m a ɾ i
3304	Kaxarari	cutia (species of rodent)	AGOUTI	m a tʃ a	matʃahi	142	m a tʃ a
3313	Kaxinawa	cutia (species of rodent)	AGOUTI	m a d i	madi	142	m a d i
3314	Marinawa	cutia (species of rodent)	AGOUTI	m a r i	mari	142	m a r i
3303	Marubo	cutia (species of rodent)	AGOUTI	m a ɾ i	ˈmāɾĭ	142	m a ɾ i
3316	Matis	cutia (species of rodent)	AGOUTI	m a ɾ e	maɾe	142	m a ɾ e
3317	Mayoruna	cutia (species of rodent)	AGOUTI	m a d e	made	142	m a d e
3311	Poyanawa	cutia (species of rodent)	AGOUTI	b a r i	bari	142	b a r i
3299	Proto-Panoan	cutia (species of rodent)	AGOUTI	m a ɽ i	maɽi	142	m a ɽ i
3309	Shanenawa	cutia (species of rodent)	AGOUTI	m a ɾ i	maɾi	142	m a ɾ i
3307	Sharanawa	cutia (species of rodent)	AGOUTI	m a r i	mari	142	m a r i
3301	ShipiboKonibo	cutia (species of rodent)	AGOUTI	m a r i	mari	142	m a r i
3305	Yaminawa	cutia (species of rodent)	AGOUTI	m a r i	mari	142	m a r i
3315	Yawanawa	cutia (species of rodent)	AGOUTI	m a ɾ i	maɾi	142	m a ɾ i
#
7149	Amawaka	animal	ANIMAL	j o ʔ i n a	yõʔina_I	451	j o ʔ i n a
7144	Chakobo	animal	ANIMAL	j o ʔ i n a	yoʔína	451	j o ʔ i n a
7140	Kakataibo	animal	ANIMAL	ɲ o i n a	ñoina	451	ɲ o - i n a
7142	Kapanawa	animal	ANIMAL	j o ʔ i n a	yoʔina	451	j o ʔ i n a
7150	Kaxinawa	animal	ANIMAL	j u i n a	yuina	451	j u - i n a
7152	Marinawa	animal	ANIMAL	j o i n a	yóíná	451	j o - i n a
7143	Marubo	animal	ANIMAL	j o i ~	yoĩ	451	j o - i ~ -
7148	Poyanawa	animal	ANIMAL	j u i ~.d a	iũĩda	451	j u - i ~.d a
7139	Proto-Panoan	animal	ANIMAL	j o ʔ i rⁿ a	yoʔi[n]a	451	j o ʔ i rⁿ a
7147	Shanenawa	animal	ANIMAL	j u i n a	yuina	451	j u - i n a
7145	Sharanawa	animal	ANIMAL	j o i n a	yoina	451	j o - i n a
7141	ShipiboKonibo	animal	ANIMAL	j o i n a	yoina	451	j o - i n a
7153	Yawanawa	animal	ANIMAL	j u i n a	iuina	451	j u - i n a
#
4965	Amawaka	ankle	ANKLE	p o x k o	hopoxko	276	p o x k o
4962	Chaninawa	ankle	ANKLE	p o ʃ k o	opoʃko	276	p o ʃ k o
4957	Kapanawa	ankle	ANKLE	p o ʃ k o	tapoʃko	276	p o ʃ k o
