ID	COGID	CONCEPT	CONCEPTINSOURCE	DOCULECT	FORM	NOTE	PROTOSET	TOKENS	VALUE	SOURCE	ALIGNMENT	STRUCTURE	COGIDS
1615	192	*1P	I	Araona	e	None	151	e  	ema,yama		e   -	V 0 0	192
1616	192	*1P	I (tr.)	Cavinena	e	None	151	e  	e-ra		e   -	V 0 0	192
1622	192	*1P	yo	EseEjja	e	None	151	e  	ea~eyaya		e   -	V 0 0	192
1614	192	*1P	I	Maropa	e	None	151	e  	éme	Heath1883	e   -	V 0 0	192
1608	192	*1P	1P	ProtoTakana	ei	see also *c̣e2,*kwana	151	e   i	ei-		e   i	V 0 0 V	192
1613	192	*1P	I	Reyesano	e	None	151	e  	e-me		e   -	V 0 0	192
1609	192	*1P	I (intr.)	Tacana	e	None	151	e  	e-ma		e   -	V 0 0	192
2762	312	*2da persona	tu	Araona	mi	None	292	m   i	mitya		m   i	C 0 0 V	312
2778	312	*2da persona	tu	Arasa	mi	None	292	m   i	mikía		m   i	C 0 0 V	312
2765	312	*2da persona	ustedes (intr.)	Cavinena	mi	None	292	m   i	mi-kwana		m   i	C 0 0 V	312
2774	312	*2da persona	usted	EseEjja	mi	None	292	m   i	mi-a		m   i	C 0 0 V	312
2761	312	*2da persona	you	Maropa	mi	None	292	m   i	mive		m   i	C 0 0 V	312
2752	312	*2da persona	2da persona	ProtoTakana	mi	None	292	m   i	mi-		m   i	C 0 0 V	312
2760	312	*2da persona	you (sg)	Reyesano	mi	None	292	m   i	mibhe		m   i	C 0 0 V	312
2753	312	*2da persona	thy	Tacana	mi	None	292	m   i	mi-ke		m   i	C 0 0 V	312
4046	442	*3ra persona	él (trans.)	Cavinena	to	None	431	t   o	tora		t   o	C 0 0 V	442
4061	442	*3ra persona	ese	EseEjja	ko	None	431	k   o	koya		k   o	C 0 0 V	442
4044	442	*3ra persona	he	Maropa	tu	None	431	t   u	tuve	Heath1883	t   u	C 0 0 V	442
4029	442	*3ra persona	3ra person	ProtoTakana	tu	None	431	t   u	tu-		t   u	C 0 0 V	442
4043	442	*3ra persona	they	Reyesano	to	None	431	t   o	tonabhe		t   o	C 0 0 V	442
4030	442	*3ra persona	ellos (dual)	Tacana	tu	None	431	t   u	tuaceda		t   u	C 0 0 V	442
2423	280	*abajo	abajo	Cavinena	ma	None	255	m   a	e-ma-ke		m   a	C 0 0 V	280
2437	280	*abajo	he allí	EseEjja	ma	None	255	m   a	maʔahe		m   a	C 0 0 V	280
2419	280	*abajo	abajo	ProtoTakana	ma	None	255	m   a	ma-		m   a	C 0 0 V	280
2422	280	*abajo	giù	Sapibokona	ma	None	255	m   a	emabuzu		m   a	C 0 0 V	280
2420	280	*abajo	abajo,debajo	Tacana	ma	None	255	m   a	e-ma-su		m   a	C 0 0 V	280
2442	291	*abajo	hacia abajo	EseEjja	makʷa	None	255	m   a   k ʷ   a	makwa-wa-sixe		m   a   k ʷ   a	C 0 0 V 0 0 C 0 0 0 V	291
