ID	Concept	Concepticon	ProtoTakana	ProtoPano_predicted	Doculect	Predicted	Form	Evaluation
1	*encima	ABOVE	beake	ßɨakɨ	Shipibo	βɨakɨ	mana~	0
2	*achiote	ACHIOTE	maʈʂe	maʂɨ	Shipibo	maʂɨ	maʂɨ	1
8	*flecha	ARROW	pisa	p[i/ɨ]sa	Shipibo	p[i/ɨ]sa	pia	phon
9	*ceniza	ASH	muru	mono	Shipibo	mono	koro	0
16	*murciélago	BAT	bina	ß[i/ɨ]na	Shipibo	β[i/ɨ]na	kokiʃ	0
17	*bañar	BATHE	nawi	naɽ[i/ɨ]	Shipibo	naɽ[i/ɨ]	naʃi	phon
19	*barba	BEARD	kʷei	[kʷ/w]ɨ[i/ɨ]	Shipibo	[k/w]ɨ[i/ɨ]	kɨʂni	phon
23	*morder	BITE	ʈʂu	ʂo	Shipibo	ʂo	natɨʂ	0
25	*negro	BLACK	zewe	ʃɨɽɨ	Shipibo	ʃɨɽɨ	wiso	0
26	*sangre	BLOOD	ami	am[i/ɨ]	Shipibo	[a/hi]m[i/ɨ]	himi	1
30	*hueso	BONE	ʈʂau	ʂao	Shipibo	ʂao	ʂao	1
40	*llamar	CALL	iwara	[i/ɨ]ɽana	Shipibo	[i/ɨ]ɽana	kɨna	0
41	*canoa	CANOE	kʷaba	[kʷ/w]aßa	Shipibo	[k/w]aβa	no~ti	0
42	*capibara	CAPYBARA	zududu	ʃororo	Shipibo	ʃonono	ʔamɨ~	0
45	*yuca	CASSAVA	kʷawe	[kʷ/w]aɽɨ	Shipibo	[k/w]aɽɨ	ʔatsa	0
57	*frío	COLD	wina	ɽ[i/ɨ]na	Shipibo	ɽ[i/ɨ]na	matsi	0
61	*algodón	COTTON	wapa	ɽapa	Shipibo	ɽapa	waʂmɨ	0
63	*gatear	CRAWL	ɽe	rɨ	Shipibo	nɨ	mɨʂo	0
65	*paujil	CURASSOW	mapi	map[i/ɨ]	Shipibo	map[i/ɨ]	hasi~	0
66	*cortar	CUT	saka	saka	Shipibo	saka	ʂatɨ	0
69	*morir	DIE	manu	mano	Shipibo	mano	mawa	0
80	*pato	DUCK	suse	sosɨ	Shipibo	sosɨ	nono~	0
84	*huevo	EGG	ka	ka	Shipibo	ka	βatʃi	0
87	*apagar	EXTINGUISH	tiku	[t/ts][i/ɨ]ko	Shipibo	[t/ts/tʃ][i/ɨ]ko	noka	0
88	*ojo	EYE	tuka	[t/ts]oka	Shipibo	[t/ts/tʃ]oka	βɨɾo	0
89	*cara	FACE	bu	ßo	Shipibo	βo	βɨ	0
90	*excremento	FAECES (EXCREMENT)	dumi	rom[i/ɨ]	Shipibo	nom[i/ɨ]	poi	0
91	*caer	FALL	daka	raka	Shipibo	naka	rɨr	0
92	*grasa,gordura	FAT (ORGANIC SUBSTANCE)	ʈʂeri	ʂɨn[i/ɨ]	Shipibo	ʂɨn[i/ɨ]	ʂɨni	1
93	*papá	FATHER	tata	[t/ts]a[t/ts]a	Shipibo	[t/ts/tʃ]a[t/ts/tʃ]a	papa	0
99	*terminar,*acabar	FINISH	ape	apɨ	Shipibo	[a/hi]pɨ	kɨjo	0
100	*fuego	FIRE	tiki	[t/ts][i/ɨ]k[i/ɨ]	Shipibo	[t/ts/tʃ][i/ɨ]k[i/ɨ]	tʃii	1
101	*fuego	FIRE	ti	[t/ts][i/ɨ]	Shipibo	[t/ts/tʃ][i/ɨ]	tʃii	phon
102	*leña	FIREWOOD	kʷati	[kʷ/w]a[t/ts][i/ɨ]	Shipibo	[k/w]a[t/ts/tʃ][i/ɨ]	karo	0
104	*pez,pescado	FISH	sae	saɨ	Shipibo	saɨ	japa	0
111	*espuma	FOAM	uba	oßa	Shipibo	oβa	βakoʂ	0
115	*pié	FOOT	waʈʂi	ɽaʂ[i/ɨ]	Shipibo	ɽaʂ[i/ɨ]	taɨ	0
120	*fruta	FRUIT	kaka	kaka	Shipibo	kaka	βimi	0
123	*dar	GIVE	tia	[t/ts][i/ɨ]a	Shipibo	[t/ts/tʃ][i/ɨ]a	ʔina~	0
133	*crecer	GROW	muɽu	moro	Shipibo	mono	josi	0
141	*pesado	HEAVY	bikʷe	ß[i/ɨ][kʷ/w]ɨ	Shipibo	β[i/ɨ][k/w]ɨ	ʔisɨ	0
146	*pegar	HIT	ije	[i/ɨ]sɨ	Shipibo	[i/ɨ]sɨ	tima	0
148	*cuerno	HORN (ANATOMY)	dana	rana	Shipibo	nana	ma~tʃa~	0
149	*caliente	HOT	kʷase	[kʷ/w]asɨ	Shipibo	[k/w]asɨ	ʂana	0
150	*casa	HOUSE	tare	[t/ts]anɨ	Shipibo	[t/ts/tʃ]anɨ	ʂoβo	0
